Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million),Budget collect, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
The Princess and the Frog ,84,73,78.5,72,72,0,72,6.5,animation,"animation, family, fantasy",adaptation,24.2,"2,42,00,000",104.4,"10,44,00,000",162.6,"16,26,40,000","26,70,40,000",267,60.90%,105,254%,23.05%,2009,,,http://www.amazon.com/gp/product/B0094KT6J8/?tag=titb-20
Horrible Bosses 2,35,40,37.5,50,62,-12,56,-18.5,comedy,"comedy, crime",sequel,15.5,"1,54,57,418",54.4,"5,44,45,357",52.2,"5,22,00,000","10,66,45,357",107,48.95%,42,254%,36.80%,2014,,,http://www.amazon.com/gp/product/B00S7HRCKY/?tag=titb-20
Eye in the Sky,95,73,84.0,83,70,13,76.5,7.5,thriller,thriller,original screenplay,0.1,"1,13,803",18.7,"1,87,04,596",14.3,"1,42,70,445","3,29,75,041",33,43.28%,13,254%,0.88%,2016,,,https://www.amazon.com/Eye-Sky-Helen-Mirren/dp/B01GPQPBYM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218546&sr=1-1&keywords=Eye+in+the+Sky
The Florida Project,95,92,94,78,66,12,72,22,drama,drama,original screenplay,0.2,"1,57,553",5.1,"50,62,514",0.0,0,"50,62,514",5,0.00%,2,253%,7.88%,2017,,,https://www.amazon.co.uk/Florida-Project-Willem-Dafoe/dp/B079G6SR6Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981198&sr=1-1&keywords=The+Florida+Project
Killing Them Softly,75,64,69.5,44,59,-15,51.5,18,crime,"crime, thriller",adaptation,6.8,"68,12,900",15.0,"1,50,26,056",22.9,"2,29,04,409","3,79,30,465",38,60.39%,15,253%,45.42%,2012,,,http://www.amazon.com/gp/product/B00BJOCX24/?tag=titb-20
A Very Harold & Kumar 3D Christmas,72,61,66.5,71,66,5,68.5,-2,comedy,comedy,sequel,13.0,"1,29,50,000",35.1,"3,50,60,000",0.3,"3,30,000","4,80,10,035",48,0.69%,19,253%,68.16%,2011,,,http://www.amazon.com/gp/product/B006PPW98U/?tag=titb-20
Alpha and Omega,17,36,26.5,41,53,-12,47,-20.5,animation,"animation, adventure, comedy",original screenplay,9.1,"91,00,000",25.1,"2,51,10,000",25.4,"2,54,00,000","5,05,10,000",51,50.29%,20,253%,45.50%,2010,,,http://www.amazon.com/gp/product/B0094JO4DM/?tag=titb-20
Yogi Bear,14,35,24.5,36,43,-7,39.5,-15,animation,"animation, adventure, comedy",adaptation,16.4,"1,64,00,000",100.3,"10,02,50,000",101.3,"10,13,40,000","20,15,90,000",202,50.27%,80,252%,20.50%,2010,,,http://www.amazon.com/gp/product/B004QZ189W/?tag=titb-20
This Is 40,51,59,55.0,51,59,-8,55,0,comedy,comedy,sequel,11.6,"1,15,79,175",67.5,"6,75,44,505",20.5,"2,05,14,281","8,80,58,786",88,23.30%,35,252%,33.08%,2012,,,http://www.amazon.com/gp/product/B00BGIBVP8/?tag=titb-20
The Good Liar,66,55,61,85,48,37,67,-6,thriller,Thriller,adaptation,5.6,"56,05,051",15.5,"1,54,86,968",9.6,"96,00,000","2,50,86,968",25,38.27%,10,251%,56.05%,2019,,,https://www.amazon.co.uk/Good-Liar-Bill-Condon/dp/B081PPT83H/ref=sr_1_1?keywords=The+Good+Liar&qid=1577974386&s=instant-video&sr=1-1
Storks,63,56,59.5,68,61,7,64.5,-5.0,Adventure,Adventure,original screenplay,21.3,"2,13,11,407",70.8,"7,07,75,890",104.5,"10,45,00,000","17,52,75,890",175,59.62%,70,250%,30.44%,2016,,,https://www.amazon.com/Storks-Nicholas-Stoller/dp/B01M0W2TH5/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219212&sr=1-1&keywords=Storks
You Don't Mess with the Zohan,36,54,45.0,50,53,-3,51.5,-6.5,action,"action, comedy",original screenplay,38.5,"3,85,30,000",100.0,"10,00,20,000",99.9,"9,99,20,000","19,99,40,000",200,49.97%,80,250%,48.16%,2008,,,http://www.amazon.com/gp/product/B00DFEDRW6/?tag=titb-20
Mad Max: Fury Road,97,89,93,87,87,0,87,6,sci-fi,"Sci-Fi, Action",sequel,45.4,"4,54,28,128",153.6,"15,36,36,354",221.1,"22,11,00,000","37,47,36,354",375,59.00%,150,250%,30.29%,2015,Oscar Winner,"Costume Design, Film Editing, Make Up and Hair Styling, Production Design, Sound Editing, Sound Mixing",http://www.amazon.com/gp/product/B014QZ9D84/?tag=titb-20
The Hills Have Eyes 2,11,32,21.5,40,48,-8,44,-22.5,horror,horror,sequel,9.7,"96,86,362",20.8,"2,08,04,166",16.7,"1,66,61,824","3,74,65,990",37,44.47%,15,250%,64.58%,2007,,,http://www.amazon.co.uk/Hills-Have-Eyes-2/dp/B00NLK3Z76/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386636&sr=1-1&keywords=The+Hills+Have+Eyes+2
Rise of the Planet of the Apes,83,68,75.5,87,77,10,82,-6.5,action,"action, sci-fi",remake / reboot,54.8,"5,48,10,000",176.7,"17,67,00,000",305.0,"30,50,40,000","23,15,10,177",232,131.76%,93,249%,58.94%,2011,,,http://www.amazon.com/gp/product/B009YMNZJS/?tag=titb-20
She's Out of My League,57,46,51.5,60,68,-8,64,-12.5,comedy,"comedy, romance",original screenplay,9.8,"98,00,000",32.0,"3,20,10,000",17.8,"1,77,70,000","4,97,80,000",50,35.70%,20,249%,49.00%,2010,,,http://www.amazon.com/gp/product/B003TJMWAA/?tag=titb-20
Elysium,68,61,64.5,58,69,-11,63.5,1,Action,"Action, Sci-Fi, Drama, Thriller",original screenplay,29.8,"2,98,07,393",93.1,"9,30,50,117",193.1,"19,30,90,583","28,61,40,700",286,67.48%,115,249%,25.92%,2013,,,http://www.amazon.com/gp/product/B00G3HSF7O/?tag=titb-20
X-Men Origins: Wolverine ,37,40,38.5,72,61,11,66.5,-28,action,"action, adventure, sci-fi",adaptation,85.1,"8,51,00,000",179.9,"17,99,00,000",193.2,"19,32,00,000","37,31,00,000",373,51.78%,150,249%,56.73%,2009,,,http://www.amazon.com/gp/product/B004UPANAI/?tag=titb-20
Unbroken,51,59,55.0,71,64,7,67.5,-12.5,action,"action, biography, drama, history, sport, war",adaptation,30.6,"3,06,21,445",115.6,"11,56,37,895",45.8,"4,58,21,402","16,14,59,297",161,28.38%,65,248%,47.11%,2014,,,http://www.amazon.com/gp/product/B00RFHUYKW/?tag=titb-20
Alien: Covenant,68,65,67,56,60,-4,58,9,sci-fi,"sci-fi, horror",sequel,36.2,"3,61,60,621",74.3,"7,42,62,031",166.5,"16,64,83,733","24,07,45,764",241,69.15%,97,248%,37.28%,2017,,,https://www.amazon.co.uk/Alien-Covenant-Michael-Fassbender/dp/B0725JLQ47/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981509&sr=1-1&keywords=Alien3A+Covenant
Megamind,72,63,67.5,73,73,0,73,-5.5,animation,"animation, action, comedy",original screenplay,46.0,"4,60,20,000",148.4,"14,84,20,000",173.5,"17,34,70,000","32,18,90,000",322,53.89%,130,248%,35.40%,2010,,,http://www.amazon.com/gp/product/B004PGAQMW/?tag=titb-20
The Prodigy,45,45,45,45,57,-12,51,-6,thriller,"Thriller, Horror",original screenplay,5.9,"58,53,061",14.9,"1,48,55,506",0.0,0,"1,48,55,506",15,0.00%,6,248%,97.55%,2019,,,https://www.amazon.co.uk/Prodigy-Taylor-Schilling/dp/B07TND47QP/ref=sr_1_1?keywords=The+Prodigy&qid=1577974463&s=instant-video&sr=1-1
Second Act,38,47,43,55,46,9,50.5,-8,Romance,"Romance, Comedy",original screenplay,6.5,"64,89,983",32.9,"3,29,47,075",6.6,"66,00,000","3,95,47,075",395,16.69%,16,247%,40.56%,2018,,,https://www.amazon.com/Second-Act-Jennifer-Lopez/dp/B07M79JCN1/ref=sr_1_3?s=instant-video&ie=UTF8&qid=1546974742&sr=1-3&keywords=Second+Act
Dolphin Tale,84,64,74,81,64,17,72.5,1.5,family,family,adaptation,19.2,"1,91,50,000",72.3,"7,22,90,000",23.1,"2,31,20,000","9,14,40,072",91,25.28%,37,247%,51.76%,2011,,,http://www.amazon.com/gp/product/B0064J63DY/?tag=titb-20
Sicario,93,81,87,88,85,3,86.5,0.5,action,"action, drama",original screenplay,12.1,"1,21,48,041",43.9,"4,39,23,193",30.0,"2,99,82,451","7,39,05,644",74,40.57%,30,246%,40.49%,2015,,,http://www.amazon.com/gp/product/B0162LLAQS/?tag=titb-20
Star Trek Into Darkness,87,72,79.5,90,78,12,84,-4.5,Action,"Action, Adventure, Sci-Fi. Thriller",sequel,70.2,"7,01,65,559",228.8,"22,87,78,661",239.0,"23,90,00,000","46,77,78,661",468,51.09%,190,246%,36.93%,2013,,,http://www.amazon.com/gp/product/B00E5Q1LTY/?tag=titb-20
Ex Machina,92,78,85,85,80,5,82.5,2.5,sci-fi,"sci-fi, thriller",original screenplay,5.3,"53,49,500",25.4,"2,54,42,958",11.4,"1,14,26,456","3,68,69,414",37,30.99%,15,246%,35.66%,2015,,,http://www.amazon.com/gp/product/B00VWQ3LQG/?tag=titb-20
Uncle Drew,64,57,61,54,62,-8,58,3,Comedy,Comedy,original screenplay,15.2,"1,52,42,781",42.3,"4,23,13,019",1.9,"18,74,202","4,41,87,221",442,4.24%,18,245%,84.68%,2018,,,https://www.amazon.com/Uncle-Drew-Kyrie-Irving/dp/B07G4MYNJF/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970638&sr=1-1&keywords=Uncle+Drew
Before I Fall,63,58,61,57,62,-5,59.5,1,drama,drama,adaptation,4.7,"46,90,214",12.2,"1,22,41,122",0.0,0,"1,22,41,122",12,0.00%,5,245%,93.80%,2017,,,-
Safe House,53,52,52.5,64,65,-1,64.5,-12,action,"action, crime, mystery",original screenplay,40.2,"4,01,72,720",126.4,"12,63,73,434",81.7,"8,17,02,771","20,80,76,205",208,39.27%,85,245%,47.26%,2012,,,http://www.amazon.com/gp/product/B0088TG252/?tag=titb-20
Max Payne,16,31,23.5,36,55,-19,45.5,-22,action,"action, crime  ",adaptation,17.6,"1,76,00,000",40.7,"4,06,90,000",44.7,"4,47,30,000","8,54,20,000",85,52.36%,35,244%,50.29%,2008,,,http://www.amazon.com/gp/product/B003Y19DVY/?tag=titb-20
Dora and the Lost City of Gold,84,63,74,88,44,44,66,8,Adventure,Adventure,adaptation,17.4,"1,74,31,588",60.5,"6,04,77,943",58.8,"5,88,04,784","11,92,82,727",119,49.30%,49,243%,35.57%,2019,,,https://www.amazon.co.uk/Dora-Lost-City-Isabela-Moner/dp/B07WMF17X1/ref=sr_1_1?keywords=Dora+and+the+Lost+City+of+Gold&qid=1577973375&s=instant-video&sr=1-1
Hercules (2014),60,47,53.5,50,65,-15,57.5,-4,action,"action, adventure",adaptation,29.8,"2,98,00,263",72.7,"7,26,88,614",170.7,"17,07,00,000","24,33,88,614",243,70.13%,100,243%,29.80%,2014,,,http://www.amazon.com/gp/product/B00OPX707Y/?tag=titb-20
Cloudy with a Chance of Meatballs ,86,66,76.0,70,67,3,68.5,7.5,animation,"animation, comedy, family",adaptation,30.3,"3,03,00,000",124.9,"12,49,00,000",118.1,"11,81,30,000","24,30,30,000",243,48.61%,100,243%,30.30%,2009,,,http://www.amazon.com/gp/product/B00I3BQ2NW/?tag=titb-20
RoboCop,49,52,50.5,51,63,-12,57,-6.5,action,"action, sci-fi, thriller, crime",remake / reboot,21.7,"2,16,81,430",58.6,"5,86,07,007",184.1,"18,40,81,958","24,26,68,965",243,75.86%,100,243%,21.68%,2014,,,http://www.amazon.com/gp/product/B00IK590UI/?tag=titb-20
Mr. Brooks,56,45,50.5,76,88,-12,82,-31.5,thriller,thriller,original screenplay,10.0,"1,00,17,067",28.5,"2,85,49,298",19.6,"1,95,72,602","4,81,21,900",48,40.67%,20,241%,50.09%,2007,,,http://www.amazon.co.uk/Mr-Brooks-Kevin-Costner/dp/B01AA0E7IA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386253&sr=1-1&keywords=Mr.+Brooks
Let there be Light,60,-,-,78,55,23,66.5,-,drama,drama,original screenplay,1.7,"17,29,535",7.2,"71,84,198",0.0,0,"71,84,198",7,0.00%,3,239%,57.65%,2017,,,-
Blades of Glory,69,64,66.5,68,70,-2,69,-2.5,comedy,"sports, comedy",original screenplay,33.0,"3,30,14,202",118.6,"11,85,94,548",27.1,"2,71,14,094","14,57,08,642",146,18.61%,61,239%,54.12%,2007,,,http://www.amazon.co.uk/BLADES-GLORY-Will-Ferrell/dp/B00FYOG2SQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385676&sr=1-1&keywords=Blades+of+Glory
Law Abiding Citizen ,25,34,29.5,77,66,11,71.5,-42,crime,"crime, thriller",original screenplay,21.0,"2,10,00,000",73.4,"7,34,00,000",53.1,"5,30,80,000","12,64,80,000",126,41.97%,53,239%,39.62%,2009,,,http://www.amazon.com/gp/product/B003CP72QK/?tag=titb-20
Oblivion,54,54,54.0,61,70,-9,65.5,-11.5,Action,"Action, Adventure, Sci-Fi, Mystery, Thriller",adaptation,37.1,"3,70,54,485",89.1,"8,91,07,235",197.1,"19,70,61,337","28,61,68,572",286,68.86%,120,238%,30.88%,2013,,,http://www.amazon.com/gp/product/B00DP3IGJ6/?tag=titb-20
Percy Jackson & the Olympians: The Lightning Thief,50,47,48.5,57,52,5,54.5,-6,adventure,"adventure, family, fantasy",adaptation,31.2,"3,12,00,000",88.8,"8,87,70,000",137.7,"13,77,30,000","22,65,00,000",227,60.81%,95,238%,32.84%,2010,,,http://www.amazon.com/gp/product/B003U6BE8I/?tag=titb-20
Rambo,36,46,41.0,70,86,-16,78,-37,action,"action, thriller, war",sequel,18.2,"1,82,00,000",42.8,"4,27,50,000",70.5,"7,04,90,000","11,32,40,000",113,62.25%,48,238%,38.32%,2008,,,http://www.amazon.com/gp/product/B001AMVKOC/?tag=titb-20
Middle School: The Worst Years of My Life,55,51,53.0,65,63,2,64,-11.0,Comedy,Comedy,adaptation,6.9,"68,78,437",19.6,"1,95,76,626",0.7,"6,55,877","2,02,32,503",20,3.24%,9,238%,80.92%,2016,,,https://www.amazon.com/Middle-School-Worst-Years-Life/dp/B01LZP9Z5Q/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218574&sr=1-1&keywords=Middle+School3A+The+Worst+Years+of+My+Life
Traffik,25,37,31,51,41,10,46,-15,thriller,"Thriller, Suspense",original screenplay,3.9,"39,41,338",9.2,"91,86,156",0.3,"3,16,741","95,02,897",95,3.33%,4,238%,98.53%,2018,,,https://www.amazon.com/Traffik-Paula-Patton/dp/B07DFLVD3X/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970712&sr=1-2&keywords=Traffik
42,79,62,70.5,86,74,12,80,-9.5,Biography,"Biography, Drama, Sport",based on a true story,27.5,"2,74,87,144",95.0,"9,50,20,213",895.5,"89,54,55,078","9,50,21,108",95,942.37%,40,238%,68.72%,2013,,,http://www.amazon.com/gp/product/B00DYQW6EU/?tag=titb-20
Rush ,89,75,82.0,88,85,3,86.5,-4.5,Action,"Action, Biography, Drama, Sport",based on a true story,0.2,"1,87,289",26.9,"2,69,47,624",63.3,"6,33,00,000","9,02,47,624",90,70.14%,38,237%,0.49%,2013,,,http://www.amazon.com/gp/product/B00H9671YQ/?tag=titb-20
The Hunger Games: Mockingjay - Part 2,70,65,67.5,66,67,-1,66.5,1.0,thriller,thriller,sequel,102.7,"10,26,65,981",7.5,"75,38,507",371.7,"37,17,04,359","37,92,42,866",379,98.01%,160,237%,64.17%,2016,,,https://www.amazon.com/Hunger-Games-Mockingjay-Part/dp/B0186DGA92/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218061&sr=1-1&keywords=The+Hunger+Games3A+Mockingjay+-+Part+2
Good Luck Chuck,3,19,11,57,41,16,49,-38,romance,romantic comedy,original screenplay,13.7,"1,36,52,001",35.0,"3,50,17,297",24.2,"2,41,74,831","5,91,92,128",59,40.84%,25,237%,54.61%,2007,,,http://www.amazon.co.uk/Good-Luck-Chuck-Dan-Fogler/dp/B00FZD9JSQ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385845&sr=1-1&keywords=Good+Luck+Chuck
Rough Night,45,51,48,30,46,-16,38,10,comedy,"comedy, drama",original screenplay,8.0,"80,04,283",22.1,"2,21,05,643",25.2,"2,52,41,640","4,73,47,283",47,53.31%,20,237%,40.02%,2017,,,https://www.amazon.co.uk/Rough-Night-Scarlett-Johansson/dp/B074X7BKRX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981459&sr=1-1&keywords=Rough+Night
Alita: Battle Angel,60,54,57,94,88,6,91,-34,Action,"Action, Adventure, Romance",adaptation,28.5,"2,85,25,613",85.3,"8,53,16,378",316.4,"31,63,93,320","40,17,09,698",402,78.76%,170,236%,16.78%,2019,,,https://www.amazon.co.uk/Alita-Battle-Angel-Rosa-Salazar/dp/B07NCHJNQ3/ref=sr_1_1?crid=OWGN2WZXDZN5&keywords=alita+battle+angel+2019&qid=1577973064&s=instant-video&sprefix=Alita3A+Battle+Angel2Cinstant-video2C145&sr=1-1
Texas Chainsaw 3D,19,31,25.0,41,46,-5,43.5,-18.5,Horror,Horror,sequel,21.7,"2,17,44,470",34.3,"3,43,41,945",12.9,"1,29,00,000","4,72,41,945",47,27.31%,20,236%,108.72%,2013,,,http://www.amazon.com/gp/product/B00CL4BRT6/?tag=titb-20
Independence Day: Resurgence,31,32,31.5,32,46,-14,39,-7.5,Action,Action,sequel,41.0,"4,10,39,944",103.1,"10,31,44,286",286.5,"28,65,23,020","38,96,67,306",390,73.53%,165,236%,24.87%,2016,,,https://www.amazon.com/Independence-Day-Resurgence-Liam-Hemsworth/dp/B01HDR3658/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1481219378&sr=1-2&keywords=Independence+Day3A+Resurgence
Harriet,73,66,70,97,62,35,80,-10,Drama,Drama,based on a true story,11.7,"1,16,76,720",39.9,"3,99,11,835",0.2,"2,00,000","4,01,11,835",40,0.50%,17,236%,68.69%,2019,,,https://www.amazon.co.uk/Harriet-Cynthia-Erivo/dp/B081FZN6LJ/ref=sr_1_2?crid=3U295XG3A97Y&keywords=harriet&qid=1577973505&s=instant-video&sprefix=Harriet2Cinstant-video2C235&sr=1-2
The Equalizer 2,51,50,51,71,69,2,70,-20,Action,Action,sequel,36.0,"3,60,11,640",98.3,"9,82,96,664",48.0,"4,79,52,734","14,62,49,398",146,32.79%,62,236%,58.08%,2018,,,https://www.amazon.com/Equalizer-2-Denzel-Washington/dp/B07FK7XVRX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974985&sr=1-1&keywords=The+Equalizer+2
Tron: Legacy,50,49,49.5,67,71,-4,69,-19.5,action,"action, adventure, sci-fi",sequel,44.0,"4,40,30,000",172.1,"17,20,60,000",228.0,"22,80,00,000","40,00,60,000",400,56.99%,170,235%,25.90%,2010,,,http://www.amazon.com/gp/product/B0094KT8W8/?tag=titb-20
Lady Bird,99,94,97,84,81,3,82.5,14,comedy,"comedy, drama",original screenplay,0.4,"3,64,437",23.5,"2,35,31,261",0.0,0,"2,35,31,261",24,0.00%,10,235%,3.64%,2017,,,https://www.amazon.co.uk/Lady-Bird-Saoirse-Ronan/dp/B079RWGWRK/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981285&sr=1-1&keywords=Lady+Bird
Hitman: Agent 47,7,28,17.5,47,37,10,42,-24.5,action,"action, adventure",adaptation,8.3,"83,26,530",22.5,"2,24,67,450",59.8,"5,97,92,987","8,22,60,437",82,72.69%,35,235%,23.79%,2015,,,http://www.amazon.com/gp/product/B018HIW658/?tag=titb-20
The Nanny Diaries,33,46,39.5,51,61,-10,56,-16.5,comedy,"comedy, drama",adaptation,7.5,"74,80,927",25.9,"2,59,30,652",21.1,"2,10,69,299","4,69,99,951",47,44.83%,20,235%,37.40%,2007,,,-
Abominable,80,61,71,95,57,38,76,-6,Adventure,Adventure,original screenplay,20.6,"2,06,12,100",60.2,"6,01,96,485",116.0,"11,60,00,000","17,61,96,485",176,65.84%,75,235%,27.48%,2019,,,https://www.amazon.co.uk/Abominable-Chloe-Bennet/dp/B07YM1R8BL/ref=sr_1_1?crid=2J95SE0GTUDCL&keywords=abominable+2019&qid=1577973009&s=instant-video&sprefix=Abominable2Cinstant-video2C144&sr=1-1
30 Days of Night,50,53,51.5,56,65,-9,60.5,-9,horror,horror,adaptation,16.0,"1,59,51,902",39.6,"3,95,68,996",35.5,"3,55,26,091","7,50,95,087",75,47.31%,32,235%,49.85%,2007,,,http://www.amazon.co.uk/30-Days-night-Josh-Hartnett/dp/B00FYN9UZO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457385592&sr=1-1&keywords=30+Days+of+Night
Skyscraper,47,51,49,75,53,22,64,-15,Action,Action,original screenplay,24.9,"2,49,05,015",67.1,"6,71,45,290",225.9,"22,59,17,930","29,30,63,220",293,77.09%,125,234%,19.92%,2018,,,https://www.amazon.com/Skyscraper-Dwayne-Rock-Johnson/dp/B07FD5T12N/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974801&sr=1-1&keywords=Skyscraper
Miss Peregrine’s Home for Peculiar Children,63,57,60.0,64,69,-5,66.5,-6.5,Adventure,Adventure,adaptation,28.9,"2,88,71,140",85.2,"8,52,18,780",172.7,"17,26,54,320","25,78,73,100",258,66.95%,110,234%,26.25%,2016,,,https://www.amazon.com/Miss-Peregrines-Home-Peculiar-Children/dp/B01M0TWU6I/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219284&sr=1-1&keywords=Miss+PeregrineE28099s+Home+for+Peculiar+Children
Tooth Fairy,16,36,26.0,46,50,-4,48,-22,comedy,"comedy, family, fantasy",original screenplay,14.0,"1,40,00,000",60.0,"6,00,20,000",52.4,"5,24,40,000","11,24,60,000",112,46.63%,48,234%,29.17%,2010,,,http://www.amazon.com/gp/product/B003LPR56I/?tag=titb-20
The Choice,12,26,19.0,62,43,19,52.5,-33.5,Drama,Drama,adaptation,6.1,"60,50,443",18.7,"1,87,30,891",4.7,"46,89,987","2,34,20,878",23,20.02%,10,234%,60.50%,2016,,,https://www.amazon.com/Choice-Benjamin-Walker/dp/B01B8LXD08/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218555&sr=1-1&keywords=The+Choice
Whatever Works ,50,45,47.5,63,63,0,63,-15.5,comedy,"comedy, romance",original screenplay,0.3,"2,60,000",5.3,"53,00,000",29.8,"2,97,90,000","3,50,90,000",35,84.90%,15,234%,1.73%,2009,,,http://www.amazon.com/gp/product/B002OQWUME/?tag=titb-20
Death at a Funeral,40,51,45.5,48,51,-3,49.5,-4,comedy,comedy,remake / reboot,16.2,"1,62,00,000",42.7,"4,27,40,000",6.3,"63,10,000","4,90,50,000",49,12.86%,21,234%,77.14%,2010,,,http://www.amazon.com/gp/product/B0016LTNL4/?tag=titb-20
Mike and Dave Need Wedding Dates,36,51,43.5,56,61,-5,58.5,-15.0,Comedy,Comedy,original screenplay,16.6,"1,66,28,170",46.0,"4,60,09,673",31.1,"3,10,58,573","7,70,68,246",77,40.30%,33,234%,50.39%,2016,,,https://www.amazon.com/Mike-Dave-Need-Wedding-Dates/dp/B01I2D6Y4M/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218974&sr=1-1&keywords=Mike+and+Dave+Need+Wedding+Dates
Snow White and the Huntsman,48,57,52.5,52,62,-10,57,-4.5,adventure,"adventure, fantasy",adaptation,56.2,"5,62,17,700",155.3,"15,53,32,381",241.3,"24,12,60,448","39,65,92,829",397,60.83%,170,233%,33.07%,2012,,,http://www.amazon.com/gp/product/B0098VXCR0/?tag=titb-20
The Day the Earth Stood Still ,19,40,29.5,34,46,-12,40,-10.5,sci-fi,"sci-fi, thriller",remake / reboot,30.5,"3,05,00,000",79.4,"7,93,70,000",153.7,"15,37,30,000","23,31,00,000",233,65.95%,100,233%,30.50%,2008,,,http://www.amazon.com/gp/product/B00IK67OQO/
The Forbidden Kingdom,64,57,60.5,65,75,-10,70,-9.5,action,"action, adventure, fantasy",adaptation,21.4,"2,14,00,000",52.1,"5,20,80,000",75.9,"7,59,00,000","12,79,80,000",128,59.31%,55,233%,38.91%,2008,,,http://www.amazon.com/gp/product/B001FVAZUI/?tag=titb-20
Ghost Rider: Spirit of Vengeance,17,32,24.5,32,45,-13,38.5,-14,action,"action, fantasy, thriller",adaptation,22.1,"2,21,15,334",51.8,"5,17,74,002",80.8,"8,07,89,928","13,25,63,930",133,60.94%,57,233%,38.80%,2012,,,http://www.amazon.com/gp/product/B00845PT18/?tag=titb-20
Tyler Perry's Acrimony,21,32,27,50,31,19,40.5,-14,thriller,"Thriller, Suspense",original screenplay,17.2,"1,71,70,707",43.5,"4,35,49,096",2.8,"28,44,416","4,63,93,512",464,6.13%,20,232%,85.85%,2018,,,https://www.amazon.com/Tyler-Perrys-Acrimony-Taraji-Henson/dp/B07D7KD3R9/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970649&sr=1-1&keywords=Tyler+Perry27s+Acrimony
Underworld: Blood Wars,20,23,22,50,52,-2,51,-30,action,"action, horror",sequel,13.7,"1,36,88,751",30.4,"3,03,53,973",50.7,"5,07,39,340","8,10,93,313",81,62.57%,35,232%,39.11%,2017,,,https://www.amazon.co.uk/Underworld-Blood-Wars-Kate-Beckinsale/dp/B01NH61OND/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546977646&sr=1-1&keywords=Underworld3A+Blood+Wars
Ralph Breaks the Internet,88,71,80,67,68,-1,67.5,12,Animation,Animation,sequel,56.2,"5,62,37,634",187.2,"18,71,64,171",217.9,"21,78,84,434","40,50,48,605",405,53.79%,175,231%,32.14%,2018,,,https://www.amazon.com/Ralph-Breaks-Internet-John-Reilly/dp/B07KPR7C1F/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975245&sr=1-1&keywords=Ralph+Breaks+the+Internet
Hop,26,41,33.5,50,51,-1,50.5,-17,animation,"animation, comedy, family",original screenplay,37.5,"3,75,40,000",108.1,"10,80,90,000",75.9,"7,58,70,000","14,56,30,108",146,52.10%,63,231%,59.59%,2011,,,http://www.amazon.com/gp/product/B007PKOKTK/?tag=titb-20
The Age of Adaline,54,51,52.5,67,74,-7,70.5,-18,drama,drama,original screenplay,13.2,"1,32,03,458",42.6,"4,26,29,776",15.1,"1,51,00,000","5,77,29,776",58,26.16%,25,231%,52.81%,2015,,,http://www.amazon.com/gp/product/B014WH7LNK/?tag=titb-20
Transformers: Dark of the Moon,35,42,38.5,67,57,10,62,-23.5,action,"action, adventure, sci-fi",sequel,97.9,"9,78,50,000",352.4,"35,23,90,000",771.4,"77,14,00,000","45,02,40,352",450,171.33%,195,231%,50.18%,2011,,,http://www.amazon.com/gp/product/B0095P3ULC/?tag=titb-20
Men in Black: International,23,38,31,66,43,23,55,-24,Adventure,Adventure,sequel,30.0,"3,00,35,838",80.0,"8,00,01,807",173.9,"17,38,88,894","25,38,90,701",254,68.49%,110,231%,27.31%,2019,,,https://www.amazon.co.uk/Men-Black-International-Chris-Hemsworth/dp/B07SZ4Z61D/ref=sr_1_1?crid=ISQUM9H0TTJZ&keywords=men+in+black+international+prime+video&qid=1577973710&s=instant-video&sprefix=Men+in+Black3A+International2Cinstant-video2C145&sr=1-1
